,productname,prices,descriptions,raitng & reviews,otherinfo
87,Lenovo Intel Celeron Dual Core,"₹26,990",Intel Celeron Dual Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD39.62 cm (15.6 Inch) Display2 Years Onsite�Warranty,4.3, (8 GB/256 GB SSD/Windows 11 Home
88,HP Victus Ryzen 5 Hexa Core 5600H,"₹65,990",AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD38.86 cm (15.3 Inch) Display1 Year Onsite Warranty,4, (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX...
89,HP Chromebook (2023) MediaTek Kompanio 1200,"₹42,990",MediaTek MediaTek Kompanio 1200 Processor8 GB LPDDR4X RAM64 bit Chrome Operating System256 GB SSD33.78 cm (13.3 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/256 GB SSD/Chrome OS
90,APPLE 2020 Macbook Air M1,"₹81,990","Apple M1 Processor8 GB DDR4 RAMMac OS Operating System256 GB SSD33.78 cm (13.3 inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warra­nty",4.3, (8 GB/256 GB SSD/Mac OS Big Sur
91,HP Ryzen 5 Hexa Core 5500U,"₹40,999",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.2, (8 GB/512 GB SSD/Windows 11 Home
92,Lenovo Ryzen 3 Quad Core 7320U,"₹36,990",AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite warranty,3.8, (8 GB/512 GB SSD/Windows 11 Home
93,Lenovo Ideapad Gaming 3 AMD Ryzen 5 Hexa Core 5600H,"₹48,990",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite warranty,3.8, (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/N...
94,HP 14s Intel Core i3 11th Gen,"₹35,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 inch) Display1 Year Onsite Warranty,4.3, (8 GB/256 GB SSD/Windows 11 Home
95,HP 15s (2023) Ryzen 3 Dual Core 3250U,"₹33,990",AMD Ryzen 3 Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
96,HP Chromebook x360 Intel Celeron Quad Core,"₹19,990",Intel Celeron Quad Core Processor4 GB LPDDR4 RAM64 bit Chrome Operating System35.56 cm (14 Inch) Touchscreen Display1 Year Onsite warranty,4.2, (4 GB/64 GB EMMC Storage/Chrome OS
97,HP Chromebook x360 Intel Celeron Dual Core,"₹19,990",Intel Celeron Dual Core Processor4 GB LPDDR4 RAM64 bit Chrome Operating System35.56 cm (14 Inch) Touchscreen Display1 Year Onsite Warranty,4.1, (4 GB/64 GB EMMC Storage/Chrome OS
98,ASUS Vivobook 15 Core i5 11th Gen,"₹42,990",Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
99,HP Intel Core i5 11th Gen,"₹49,990",Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.1, (8 GB/512 GB SSD/Windows 11 Home
100,ASUS Vivobook 15 Core i3 11th Gen,"₹34,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,3.6, (8 GB/512 GB SSD/Windows 11 Home
101,Acer One Core i3 11th Gen,"₹26,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 Inch) Display1 Year Warranty,4.3, (8 GB/256 GB SSD/Windows 11 Home
102,HP 15s (2023) Intel Core i5 11th Gen,"₹52,990",Intel Core i5 Processor (11th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (16 GB/512 GB SSD/Windows 11 Home
103,HP Chromebook (2023) Intel Core i5 11th Gen,"₹54,990","Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Chrome Operating System256 GB SSD35.56 cm (14 inch) Display1M+ Android apps, Preinstalled G-suite apps, Linux kernel and apps, Chrome web extensions, Available online and offline, Google Chrome, Google Play Store, Google Drive, Gmail, Google Calendar, Google Photo, Google Map, YouTube, Google Docs, Google spreadsheet, Google Slide, Google Hangouts, Google Keep, Google Shopping, Google Play Movies & TV, Google Play Books Drawing canvas, Google Play Music, Google Play Games1 Year Onsite Warranty",4.2, (8 GB/256 GB SSD/Chrome OS
104,HP 247 G8 Athlon Dual Core AMD Athlon P3045B,"₹22,490",AMD Athlon Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System1 TB HDD35.56 cm (14 inch) DisplayWindows1 Year,4.4, (8 GB/1 TB HDD/Windows 11 Home
105,HP 15s (2023) Intel Core i3 12th Gen,"₹39,990",Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.2, (8 GB/512 GB SSD/Windows 11 Home
106,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,"₹40,490",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD93.01 cm (36.62 cm) DisplayOffice Home and Student 20212 Year warranty,4.1, (8 GB/512 GB SSD/Windows 11 Home
107,Lenovo LOQ Ryzen 7 Octa Core 7840HS,"₹87,990",AMD Ryzen 7 Octa Core Processor16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Warranty,4.3, (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce R...
108,Lenovo V15 Ryzen 5 Hexa Core 5500U,"₹35,990",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4, (8 GB/512 GB SSD/Windows 11 Home
109,realme Book (Slim) Core i3 11th Gen,"₹36,999","Stylish & Portable Thin and Light Laptop14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display)Finger Print Sensor for Faster System AccessLight Laptop without Optical Disk DriveIntel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD35.56 cm (14 inch) DisplayNA1 Year Domestic Warranty",4.7, (8 GB/256 GB SSD/Windows 10 Home
110,Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen,"₹35,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayOffice Home and Student 20212 Year warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
111,Lenovo Intel Celeron Dual Core,"₹26,990",Intel Celeron Dual Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD39.62 cm (15.6 Inch) Display2 Years Onsite�Warranty,4, (8 GB/256 GB SSD/Windows 11 Home
112,HP Victus Ryzen 5 Hexa Core 5600H,"₹65,990",AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD38.86 cm (15.3 Inch) Display1 Year Onsite Warranty,4.3, (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX...
113,HP Chromebook (2023) MediaTek Kompanio 1200,"₹42,990",MediaTek MediaTek Kompanio 1200 Processor8 GB LPDDR4X RAM64 bit Chrome Operating System256 GB SSD33.78 cm (13.3 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/256 GB SSD/Chrome OS
114,APPLE 2020 Macbook Air M1,"₹81,990","Apple M1 Processor8 GB DDR4 RAMMac OS Operating System256 GB SSD33.78 cm (13.3 inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warra­nty",4.2, (8 GB/256 GB SSD/Mac OS Big Sur
115,HP Ryzen 5 Hexa Core 5500U,"₹40,999",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,3.8, (8 GB/512 GB SSD/Windows 11 Home
116,Lenovo Ryzen 3 Quad Core 7320U,"₹36,990",AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite warranty,3.8, (8 GB/512 GB SSD/Windows 11 Home
117,Lenovo Ideapad Gaming 3 AMD Ryzen 5 Hexa Core 5600H,"₹48,990",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/N...
118,HP 14s Intel Core i3 11th Gen,"₹35,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 inch) Display1 Year Onsite Warranty,4.7, (8 GB/256 GB SSD/Windows 11 Home
119,HP 15s (2023) Ryzen 3 Dual Core 3250U,"₹33,990",AMD Ryzen 3 Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
120,HP Chromebook x360 Intel Celeron Quad Core,"₹19,990",Intel Celeron Quad Core Processor4 GB LPDDR4 RAM64 bit Chrome Operating System35.56 cm (14 Inch) Touchscreen Display1 Year Onsite warranty,4.3, (4 GB/64 GB EMMC Storage/Chrome OS
121,HP Chromebook x360 Intel Celeron Dual Core,"₹19,990",Intel Celeron Dual Core Processor4 GB LPDDR4 RAM64 bit Chrome Operating System35.56 cm (14 Inch) Touchscreen Display1 Year Onsite Warranty,4.3, (4 GB/64 GB EMMC Storage/Chrome OS
122,ASUS Vivobook 15 Core i5 11th Gen,"₹42,990",Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.1, (8 GB/512 GB SSD/Windows 11 Home
123,APPLE 2020 Macbook Air M1,"₹81,990","Apple M1 Processor8 GB DDR4 RAMMac OS Operating System256 GB SSD33.78 cm (13.3 inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warra­nty",4.5, (8 GB/256 GB SSD/Mac OS Big Sur
124,ASUS Vivobook 15 Core i3 11th Gen,"₹34,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.1, (8 GB/512 GB SSD/Windows 11 Home
125,HP Intel Core i5 11th Gen,"₹49,990",Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
126,HP 15s (2023) Intel Core i5 11th Gen,"₹52,990",Intel Core i5 Processor (11th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.2, (16 GB/512 GB SSD/Windows 11 Home
127,HP Chromebook (2023) Intel Core i5 11th Gen,"₹54,990","Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Chrome Operating System256 GB SSD35.56 cm (14 inch) Display1M+ Android apps, Preinstalled G-suite apps, Linux kernel and apps, Chrome web extensions, Available online and offline, Google Chrome, Google Play Store, Google Drive, Gmail, Google Calendar, Google Photo, Google Map, YouTube, Google Docs, Google spreadsheet, Google Slide, Google Hangouts, Google Keep, Google Shopping, Google Play Movies & TV, Google Play Books Drawing canvas, Google Play Music, Google Play Games1 Year Onsite Warranty",4.3, (8 GB/256 GB SSD/Chrome OS
128,HP (2023) Intel 12th Gen N305 Core i3,"₹40,990",Intel Core i3 Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
129,Acer One Core i3 11th Gen,"₹26,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 Inch) Display1 Year Warranty,4.4, (8 GB/256 GB SSD/Windows 11 Home
130,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,"₹40,490",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD93.01 cm (36.62 cm) DisplayOffice Home and Student 20212 Year warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
131,Lenovo LOQ Ryzen 7 Octa Core 7840HS,"₹87,990",AMD Ryzen 7 Octa Core Processor16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Warranty,4, (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce R...
132,Lenovo V15 Ryzen 5 Hexa Core 5500U,"₹35,990",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.2, (8 GB/512 GB SSD/Windows 11 Home
133,HP 14s Intel Core i3 11th Gen,"₹35,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 inch) Display1 Year Onsite Warranty,4.2, (8 GB/256 GB SSD/Windows 11 Home
134,HP 15s (2023) Intel Core i3 12th Gen,"₹39,990",Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4, (8 GB/512 GB SSD/Windows 11 Home
135,realme Book (Slim) Core i3 11th Gen,"₹36,999","Stylish & Portable Thin and Light Laptop14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display)Finger Print Sensor for Faster System AccessLight Laptop without Optical Disk DriveIntel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD35.56 cm (14 inch) DisplayNA1 Year Domestic Warranty",4.3, (8 GB/256 GB SSD/Windows 10 Home
136,HP Victus Ryzen 5 Hexa Core 5600H,"₹65,990",AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD38.86 cm (15.3 Inch) Display1 Year Onsite Warranty,3.6, (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX...
137,HP Chromebook (2023) MediaTek Kompanio 1200,"₹42,990",MediaTek MediaTek Kompanio 1200 Processor8 GB LPDDR4X RAM64 bit Chrome Operating System256 GB SSD33.78 cm (13.3 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/256 GB SSD/Chrome OS
138,Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen,"₹35,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayOffice Home and Student 20212 Year warranty,3.8, (8 GB/512 GB SSD/Windows 11 Home
139,HP 15s (2023) Ryzen 3 Dual Core 3250U,"₹33,990",AMD Ryzen 3 Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,3.8, (8 GB/512 GB SSD/Windows 11 Home
140,Lenovo Ryzen 3 Quad Core 7320U,"₹36,990",AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
141,Lenovo Ideapad Gaming 3 Intel Core i5 11th Gen,"₹52,990",Intel Core i5 Processor (11th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite warranty,4.7, (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDI...
142,HP 247 G8 Athlon Dual Core AMD Athlon P3045B,"₹22,490",AMD Athlon Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System1 TB HDD35.56 cm (14 inch) DisplayWindows1 Year,4.2, (8 GB/1 TB HDD/Windows 11 Home
143,ASUS Vivobook 14 Core i3 11th Gen,"₹34,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
144,HP Chromebook x360 Intel Celeron Quad Core,"₹19,990",Intel Celeron Quad Core Processor4 GB LPDDR4 RAM64 bit Chrome Operating System35.56 cm (14 Inch) Touchscreen Display1 Year Onsite warranty,4.3, (4 GB/64 GB EMMC Storage/Chrome OS
145,HP Chromebook x360 Intel Celeron Dual Core,"₹19,990",Intel Celeron Dual Core Processor4 GB LPDDR4 RAM64 bit Chrome Operating System35.56 cm (14 Inch) Touchscreen Display1 Year Onsite Warranty,4.1, (4 GB/64 GB EMMC Storage/Chrome OS
146,ASUS Vivobook 15 Core i5 11th Gen,"₹42,990",Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.5, (8 GB/512 GB SSD/Windows 11 Home
147,APPLE 2020 Macbook Air M1,"₹81,990","Apple M1 Processor8 GB DDR4 RAMMac OS Operating System256 GB SSD33.78 cm (13.3 inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warra­nty",4.1, (8 GB/256 GB SSD/Mac OS Big Sur
148,ASUS Vivobook 15 Core i3 11th Gen,"₹34,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
149,HP Intel Core i5 11th Gen,"₹49,990",Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.2, (8 GB/512 GB SSD/Windows 11 Home
150,HP 15s (2023) Intel Core i5 11th Gen,"₹52,990",Intel Core i5 Processor (11th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (16 GB/512 GB SSD/Windows 11 Home
151,HP Chromebook (2023) Intel Core i5 11th Gen,"₹54,990","Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Chrome Operating System256 GB SSD35.56 cm (14 inch) Display1M+ Android apps, Preinstalled G-suite apps, Linux kernel and apps, Chrome web extensions, Available online and offline, Google Chrome, Google Play Store, Google Drive, Gmail, Google Calendar, Google Photo, Google Map, YouTube, Google Docs, Google spreadsheet, Google Slide, Google Hangouts, Google Keep, Google Shopping, Google Play Movies & TV, Google Play Books Drawing canvas, Google Play Music, Google Play Games1 Year Onsite Warranty",4.3, (8 GB/256 GB SSD/Chrome OS
152,HP (2023) Intel 12th Gen N305 Core i3,"₹40,990",Intel Core i3 Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty,4.4, (8 GB/512 GB SSD/Windows 11 Home
153,Acer One Core i3 11th Gen,"₹26,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 Inch) Display1 Year Warranty,4, (8 GB/256 GB SSD/Windows 11 Home
154,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,"₹40,490",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD93.01 cm (36.62 cm) DisplayOffice Home and Student 20212 Year warranty,4, (8 GB/512 GB SSD/Windows 11 Home
155,Lenovo LOQ Ryzen 7 Octa Core 7840HS,"₹87,990",AMD Ryzen 7 Octa Core Processor16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Warranty,4.2, (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce R...
156,Lenovo V15 Ryzen 5 Hexa Core 5500U,"₹35,990",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.2, (8 GB/512 GB SSD/Windows 11 Home
157,HP 14s Intel Core i3 11th Gen,"₹35,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 inch) Display1 Year Onsite Warranty,4.2, (8 GB/256 GB SSD/Windows 11 Home
158,HP 15s (2023) Intel Core i3 12th Gen,"₹39,990",Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
159,realme Book (Slim) Core i3 11th Gen,"₹36,999","Stylish & Portable Thin and Light Laptop14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display)Finger Print Sensor for Faster System AccessLight Laptop without Optical Disk DriveIntel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD35.56 cm (14 inch) DisplayNA1 Year Domestic Warranty",3.6, (8 GB/256 GB SSD/Windows 10 Home
160,HP Chromebook (2023) MediaTek Kompanio 1200,"₹42,990",MediaTek MediaTek Kompanio 1200 Processor8 GB LPDDR4X RAM64 bit Chrome Operating System256 GB SSD33.78 cm (13.3 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/256 GB SSD/Chrome OS
161,Lenovo Ryzen 3 Quad Core 7320U,"₹36,990",AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite warranty,3.8, (8 GB/512 GB SSD/Windows 11 Home
162,Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen,"₹35,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayOffice Home and Student 20212 Year warranty,3.8, (8 GB/512 GB SSD/Windows 11 Home
163,HP 15s (2023) Ryzen 3 Dual Core 3250U,"₹33,990",AMD Ryzen 3 Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
